,bea_code,category,date,ADVANCE,THIRD,abs_third,third_less_adv,abs_third_less_adv,line,year,month,date_t
434,B018RY2,Farm - B018RY2,2012_Q2,0.04,-0.17,0.17,-0.21,0.21,43,2012,4,2012-04-01
435,B018RY2,Farm - B018RY2,2012_Q3,-0.42,-0.38,0.38,0.04,0.04,43,2012,7,2012-07-01
436,B018RY2,Farm - B018RY2,2012_Q4,0.11,0.14,0.14,0.03,0.03,43,2012,10,2012-10-01
437,B018RY2,Farm - B018RY2,2013_Q1,0.78,0.83,0.83,0.05,0.05,43,2013,1,2013-01-01
438,B018RY2,Farm - B018RY2,2013_Q2,0.13,0.12,0.12,-0.01,0.01,43,2013,4,2013-04-01
439,B018RY2,Farm - B018RY2,2013_Q3,0.11,0.12,0.12,0.01,0.01,43,2013,7,2013-07-01
440,B018RY2,Farm - B018RY2,2013_Q4,-0.02,-0.05,0.05,-0.03,0.03,43,2013,10,2013-10-01
441,B018RY2,Farm - B018RY2,2014_Q1,0.02,-0.07,0.07,-0.09,0.09,43,2014,1,2014-01-01
442,B018RY2,Farm - B018RY2,2014_Q2,0.09,0.11,0.11,0.02,0.02,43,2014,4,2014-04-01
443,B018RY2,Farm - B018RY2,2014_Q3,0.15,0.13,0.13,-0.02,0.02,43,2014,7,2014-07-01
444,B018RY2,Farm - B018RY2,2014_Q4,-0.01,-0.03,0.03,-0.02,0.02,43,2014,10,2014-10-01
445,B018RY2,Farm - B018RY2,2015_Q1,-0.02,-0.04,0.04,-0.02,0.02,43,2015,1,2015-01-01
446,B018RY2,Farm - B018RY2,2015_Q2,-0.02,-0.09,0.09,-0.07,0.07,43,2015,4,2015-04-01
447,B018RY2,Farm - B018RY2,2015_Q3,0.01,0.08,0.08,0.07,0.07,43,2015,7,2015-07-01
448,B018RY2,Farm - B018RY2,2015_Q4,-0.07,-0.1,0.1,-0.03,0.03,43,2015,10,2015-10-01
