,date,est,date_pub,code,line,value,description
50,2008_Q1,THIRD,2008-06-26,A191RL1,1,1.0,    Gross domestic product
51,2008_Q2,ADVANCE,2008-07-31,A191RL1,1,1.9,    Gross domestic product
52,2008_Q2,SECOND,2008-08-28,A191RL1,1,3.3,    Gross domestic product
53,2008_Q2,THIRD,2008-09-26,A191RL1,1,2.8,    Gross domestic product
54,2008_Q3,ADVANCE,2008-10-30,A191RL1,1,-0.3,    Gross domestic product
55,2008_Q3,SECOND,2008-11-25,A191RL1,1,-0.5,    Gross domestic product
56,2008_Q3,THIRD,2008-12-23,A191RL1,1,-0.5,    Gross domestic product
57,2008_Q4,ADVANCE,2009-01-30,A191RL1,1,-3.8,    Gross domestic product
58,2008_Q4,SECOND,2009-02-27,A191RL1,1,-6.2,    Gross domestic product
59,2008_Q4,THIRD,2009-03-26,A191RL1,1,-6.3,    Gross domestic product
60,2009_Q1,ADVANCE,2009-04-29,A191RL1,1,-6.1,    Gross domestic product
61,2009_Q1,SECOND,2009-05-29,A191RL1,1,-5.7,    Gross domestic product
62,2009_Q1,THIRD,2009-06-25,A191RL1,1,-5.5,    Gross domestic product
63,2009_Q2,ADVANCE,2009-07-31,A191RL1,1,-1.0,    Gross domestic product
64,2009_Q2,SECOND,2009-08-27,A191RL1,1,-1.0,    Gross domestic product
65,2009_Q2,THIRD,2009-09-30,A191RL1,1,-0.7,    Gross domestic product
66,2009_Q3,ADVANCE,2009-10-29,A191RL1,1,3.5,    Gross domestic product
67,2009_Q3,SECOND,2009-11-24,A191RL1,1,2.8,    Gross domestic product
68,2009_Q3,THIRD,2009-12-22,A191RL1,1,2.2,    Gross domestic product
69,2009_Q4,ADVANCE,2010-01-29,A191RL1,1,5.7,    Gross domestic product
70,2009_Q4,SECOND,2010-02-26,A191RL1,1,5.9,    Gross domestic product
71,2009_Q4,THIRD,2010-03-26,A191RL1,1,5.6,    Gross domestic product
72,2010_Q1,ADVANCE,2010-04-30,A191RL1,1,3.2,    Gross domestic product
73,2010_Q1,SECOND,2010-05-27,A191RL1,1,3.0,    Gross domestic product
74,2010_Q1,THIRD,2010-06-25,A191RL1,1,2.7,    Gross domestic product
75,2010_Q2,ADVANCE,2010-07-30,A191RL1,1,2.4,    Gross domestic product
76,2010_Q2,SECOND,2010-08-27,A191RL1,1,1.6,    Gross domestic product
77,2010_Q2,THIRD,2010-09-30,A191RL1,1,1.7,    Gross domestic product
78,2010_Q3,ADVANCE,2010-10-29,A191RL1,1,2.0,    Gross domestic product
79,2010_Q3,SECOND,2010-11-23,A191RL1,1,2.5,    Gross domestic product
80,2010_Q3,THIRD,2010-12-22,A191RL1,1,2.6,    Gross domestic product
81,2010_Q4,ADVANCE,2011-01-28,A191RL1,1,3.2,    Gross domestic product
82,2010_Q4,SECOND,2011-02-25,A191RL1,1,2.8,    Gross domestic product
83,2010_Q4,THIRD,2011-03-25,A191RL1,1,3.1,    Gross domestic product
84,2011_Q1,ADVANCE,2011-04-28,A191RL1,1,1.8,    Gross domestic product
85,2011_Q1,SECOND,2011-05-26,A191RL1,1,1.8,    Gross domestic product
86,2011_Q1,THIRD,2011-06-24,A191RL1,1,1.9,    Gross domestic product
87,2011_Q2,ADVANCE,2011-07-29,A191RL1,1,1.3,    Gross domestic product
88,2011_Q2,SECOND,2011-08-26,A191RL1,1,1.0,    Gross domestic product
89,2011_Q2,THIRD,2011-09-29,A191RL1,1,1.3,    Gross domestic product
90,2011_Q3,ADVANCE,2011-10-27,A191RL1,1,2.5,    Gross domestic product
91,2011_Q3,SECOND,2011-11-22,A191RL1,1,2.0,    Gross domestic product
92,2011_Q3,THIRD,2011-12-22,A191RL1,1,1.8,    Gross domestic product
93,2011_Q4,ADVANCE,2012-01-27,A191RL1,1,2.8,    Gross domestic product
94,2011_Q4,SECOND,2012-02-29,A191RL1,1,3.0,    Gross domestic product
95,2011_Q4,THIRD,2012-03-29,A191RL1,1,3.0,    Gross domestic product
96,2012_Q1,ADVANCE,2012-04-27,A191RL1,1,2.2,    Gross domestic product
97,2012_Q1,SECOND,2012-05-31,A191RL1,1,1.9,    Gross domestic product
98,2012_Q1,THIRD,2012-06-28,A191RL1,1,1.9,    Gross domestic product
99,2012_Q2,ADVANCE,2012-07-27,A191RL1,1,1.5,    Gross domestic product
100,2012_Q2,SECOND,2012-08-29,A191RL1,1,1.7,    Gross domestic product
101,2012_Q2,THIRD,2012-09-27,A191RL1,1,1.3,    Gross domestic product
102,2012_Q3,ADVANCE,2012-10-26,A191RL1,1,2.0,    Gross domestic product
103,2012_Q3,SECOND,2012-11-29,A191RL1,1,2.7,    Gross domestic product
104,2012_Q3,THIRD,2012-12-20,A191RL1,1,3.1,    Gross domestic product
105,2012_Q4,ADVANCE,2013-01-30,A191RL1,1,-0.1,    Gross domestic product
106,2012_Q4,SECOND,2013-02-28,A191RL1,1,0.1,    Gross domestic product
107,2012_Q4,THIRD,2013-03-28,A191RL1,1,0.4,    Gross domestic product
108,2013_Q1,ADVANCE,2013-04-26,A191RL1,1,2.5,    Gross domestic product
109,2013_Q1,SECOND,2013-05-30,A191RL1,1,2.4,    Gross domestic product
110,2013_Q1,THIRD,2013-06-26,A191RL1,1,1.8,    Gross domestic product
111,2013_Q2,ADVANCE,2013-07-31,A191RL1,1,1.7,    Gross domestic product
112,2013_Q2,SECOND,2013-08-29,A191RL1,1,2.5,    Gross domestic product
113,2013_Q2,THIRD,2013-09-26,A191RL1,1,2.5,    Gross domestic product
114,2013_Q3,ADVANCE,2013-11-07,A191RL1,1,2.8,    Gross domestic product
115,2013_Q3,SECOND,2013-12-05,A191RL1,1,3.6,    Gross domestic product
116,2013_Q3,THIRD,2013-12-20,A191RL1,1,4.1,    Gross domestic product
117,2013_Q4,ADVANCE,2014-01-30,A191RL1,1,3.2,    Gross domestic product
118,2013_Q4,SECOND,2014-02-28,A191RL1,1,2.4,    Gross domestic product
119,2013_Q4,THIRD,2014-03-27,A191RL1,1,2.6,    Gross domestic product
120,2014_Q1,ADVANCE,2014-04-30,A191RL1,1,0.1,    Gross domestic product
121,2014_Q1,SECOND,2014-05-29,A191RL1,1,-1.0,    Gross domestic product
122,2014_Q1,THIRD,2014-06-25,A191RL1,1,-2.9,    Gross domestic product
123,2014_Q2,ADVANCE,2014-07-30,A191RL1,1,4.0,    Gross domestic product
124,2014_Q2,SECOND,2014-08-28,A191RL1,1,4.2,    Gross domestic product
125,2014_Q2,THIRD,2014-09-26,A191RL1,1,4.6,    Gross domestic product
126,2014_Q3,ADVANCE,2014-10-30,A191RL1,1,3.5,    Gross domestic product
127,2014_Q3,SECOND,2014-11-25,A191RL1,1,3.9,    Gross domestic product
128,2014_Q3,THIRD,2014-12-23,A191RL1,1,5.0,    Gross domestic product
129,2014_Q4,ADVANCE,2015-01-30,A191RL1,1,2.6,    Gross domestic product
130,2014_Q4,SECOND,2015-02-27,A191RL1,1,2.2,    Gross domestic product
131,2014_Q4,THIRD,2015-03-27,A191RL1,1,2.2,    Gross domestic product
132,2015_Q1,ADVANCE,2015-04-29,A191RL1,1,0.2,    Gross domestic product
133,2015_Q1,SECOND,2015-05-29,A191RL1,1,-0.7,    Gross domestic product
134,2015_Q1,THIRD,2015-06-24,A191RL1,1,-0.2,    Gross domestic product
135,2015_Q2,ADVANCE,2015-07-30,A191RL1,1,2.3,    Gross domestic product
136,2015_Q2,SECOND,2015-08-27,A191RL1,1,3.7,    Gross domestic product
137,2015_Q2,THIRD,2015-09-25,A191RL1,1,3.9,    Gross domestic product
138,2015_Q3,ADVANCE,2015-10-29,A191RL1,1,1.5,    Gross domestic product
139,2015_Q3,SECOND,2015-11-24,A191RL1,1,2.1,    Gross domestic product
140,2015_Q3,THIRD,2015-12-22,A191RL1,1,2.0,    Gross domestic product
141,2015_Q4,ADVANCE,2016-01-29,A191RL1,1,0.7,    Gross domestic product
142,2015_Q4,SECOND,2016-02-26,A191RL1,1,1.0,    Gross domestic product
143,2015_Q4,THIRD,2016-03-25,A191RL1,1,1.4,    Gross domestic product
144,2004_Q1,ADVANCE,2004-04-29,DPCERY2,,,
145,2004_Q1,SECOND,2004-05-27,DPCERY2,,,
146,2004_Q1,THIRD,2004-06-25,DPCERY2,,,
147,2004_Q2,ADVANCE,2004-07-30,DPCERY2,,,
148,2004_Q2,SECOND,2004-08-27,DPCERY2,,,
149,2004_Q2,THIRD,2004-09-29,DPCERY2,,,
150,2004_Q3,ADVANCE,2004-10-29,DPCERY2,,,
151,2004_Q3,SECOND,2004-11-30,DPCERY2,,,
152,2004_Q3,THIRD,2004-12-22,DPCERY2,,,
153,2004_Q4,ADVANCE,2005-01-28,DPCERY2,,,
154,2004_Q4,SECOND,2005-02-25,DPCERY2,,,
155,2004_Q4,THIRD,2005-03-30,DPCERY2,,,
156,2005_Q1,ADVANCE,2005-04-28,DPCERY2,,,
157,2005_Q1,SECOND,2005-05-26,DPCERY2,,,
158,2005_Q1,THIRD,2005-06-29,DPCERY2,,,
159,2005_Q2,ADVANCE,2005-07-29,DPCERY2,,,
160,2005_Q2,SECOND,2005-08-31,DPCERY2,,,
161,2005_Q2,THIRD,2005-09-29,DPCERY2,,,
162,2005_Q3,ADVANCE,2005-10-28,DPCERY2,,,
163,2005_Q3,SECOND,2005-11-30,DPCERY2,,,
164,2005_Q3,THIRD,2005-12-21,DPCERY2,,,
165,2005_Q4,ADVANCE,2006-01-27,DPCERY2,,,
166,2005_Q4,SECOND,2006-02-28,DPCERY2,,,
167,2005_Q4,THIRD,2006-03-30,DPCERY2,,,
168,2006_Q1,ADVANCE,2006-04-28,DPCERY2,,,
169,2006_Q1,SECOND,2006-05-25,DPCERY2,,,
170,2006_Q1,THIRD,2006-06-29,DPCERY2,,,
171,2006_Q2,ADVANCE,2006-07-28,DPCERY2,,,
172,2006_Q2,SECOND,2006-08-30,DPCERY2,,,
173,2006_Q2,THIRD,2006-09-28,DPCERY2,,,
174,2006_Q3,ADVANCE,2006-10-27,DPCERY2,,,
175,2006_Q3,SECOND,2006-11-29,DPCERY2,,,
176,2006_Q3,THIRD,2006-12-21,DPCERY2,,,
177,2006_Q4,ADVANCE,2007-01-27,DPCERY2,,,
178,2006_Q4,SECOND,2007-02-28,DPCERY2,,,
179,2006_Q4,THIRD,2007-03-30,DPCERY2,,,
180,2007_Q1,ADVANCE,2007-04-27,DPCERY2,,,
181,2007_Q1,SECOND,2007-05-31,DPCERY2,,,
182,2007_Q1,THIRD,2007-06-28,DPCERY2,,,
183,2007_Q2,ADVANCE,2007-07-27,DPCERY2,,,
184,2007_Q2,SECOND,2007-08-30,DPCERY2,,,
185,2007_Q2,THIRD,2007-09-27,DPCERY2,,,
186,2007_Q3,ADVANCE,2007-10-31,DPCERY2,,,
187,2007_Q3,SECOND,2007-11-29,DPCERY2,,,
188,2007_Q3,THIRD,2007-12-20,DPCERY2,,,
189,2007_Q4,ADVANCE,2008-01-30,DPCERY2,,,
190,2007_Q4,SECOND,2008-02-28,DPCERY2,,,
191,2007_Q4,THIRD,2008-03-27,DPCERY2,,,
192,2008_Q1,ADVANCE,2008-04-30,DPCERY2,,,
193,2008_Q1,SECOND,2008-05-29,DPCERY2,,,
194,2008_Q1,THIRD,2008-06-26,DPCERY2,,,
195,2008_Q2,ADVANCE,2008-07-31,DPCERY2,,,
196,2008_Q2,SECOND,2008-08-28,DPCERY2,,,
197,2008_Q2,THIRD,2008-09-26,DPCERY2,,,
198,2008_Q3,ADVANCE,2008-10-30,DPCERY2,,,
199,2008_Q3,SECOND,2008-11-25,DPCERY2,,,
200,2008_Q3,THIRD,2008-12-23,DPCERY2,,,
201,2008_Q4,ADVANCE,2009-01-30,DPCERY2,,,
202,2008_Q4,SECOND,2009-02-27,DPCERY2,,,
203,2008_Q4,THIRD,2009-03-26,DPCERY2,,,
204,2009_Q1,ADVANCE,2009-04-29,DPCERY2,,,
205,2009_Q1,SECOND,2009-05-29,DPCERY2,,,
206,2009_Q1,THIRD,2009-06-25,DPCERY2,,,
207,2009_Q2,ADVANCE,2009-07-31,DPCERY2,2,-0.88,Personal consumption expenditures
208,2009_Q2,SECOND,2009-08-27,DPCERY2,2,-0.69,Personal consumption expenditures
209,2009_Q2,THIRD,2009-09-30,DPCERY2,2,-0.62,Personal consumption expenditures
210,2009_Q3,ADVANCE,2009-10-29,DPCERY2,2,2.36,Personal consumption expenditures
211,2009_Q3,SECOND,2009-11-24,DPCERY2,2,2.07,Personal consumption expenditures
212,2009_Q3,THIRD,2009-12-22,DPCERY2,2,1.96,Personal consumption expenditures
213,2009_Q4,ADVANCE,2010-01-29,DPCERY2,2,1.44,Personal consumption expenditures
214,2009_Q4,SECOND,2010-02-26,DPCERY2,2,1.23,Personal consumption expenditures
215,2009_Q4,THIRD,2010-03-26,DPCERY2,2,1.16,Personal consumption expenditures
216,2010_Q1,ADVANCE,2010-04-30,DPCERY2,2,2.55,Personal consumption expenditures
217,2010_Q1,SECOND,2010-05-27,DPCERY2,2,2.42,Personal consumption expenditures
218,2010_Q1,THIRD,2010-06-25,DPCERY2,2,2.13,Personal consumption expenditures
219,2010_Q2,ADVANCE,2010-07-30,DPCERY2,2,1.15,Personal consumption expenditures
220,2010_Q2,SECOND,2010-08-27,DPCERY2,2,1.38,Personal consumption expenditures
221,2010_Q2,THIRD,2010-09-30,DPCERY2,2,1.54,Personal consumption expenditures
222,2010_Q3,ADVANCE,2010-10-29,DPCERY2,2,1.79,Personal consumption expenditures
223,2010_Q3,SECOND,2010-11-23,DPCERY2,2,1.97,Personal consumption expenditures
224,2010_Q3,THIRD,2010-12-22,DPCERY2,2,1.67,Personal consumption expenditures
225,2010_Q4,ADVANCE,2011-01-28,DPCERY2,2,3.04,Personal consumption expenditures
226,2010_Q4,SECOND,2011-02-25,DPCERY2,2,2.88,Personal consumption expenditures
227,2010_Q4,THIRD,2011-03-25,DPCERY2,2,2.79,Personal consumption expenditures
228,2011_Q1,ADVANCE,2011-04-28,DPCERY2,2,1.91,Personal consumption expenditures
229,2011_Q1,SECOND,2011-05-26,DPCERY2,2,1.53,Personal consumption expenditures
230,2011_Q1,THIRD,2011-06-24,DPCERY2,2,1.52,Personal consumption expenditures
231,2011_Q2,ADVANCE,2011-07-29,DPCERY2,2,0.07,Personal consumption expenditures
232,2011_Q2,SECOND,2011-08-26,DPCERY2,2,0.3,Personal consumption expenditures
233,2011_Q2,THIRD,2011-09-29,DPCERY2,2,0.49,Personal consumption expenditures
234,2011_Q3,ADVANCE,2011-10-27,DPCERY2,2,1.72,Personal consumption expenditures
235,2011_Q3,SECOND,2011-11-22,DPCERY2,2,1.63,Personal consumption expenditures
236,2011_Q3,THIRD,2011-12-22,DPCERY2,2,1.24,Personal consumption expenditures
237,2011_Q4,ADVANCE,2012-01-27,DPCERY2,2,1.45,Personal consumption expenditures
238,2011_Q4,SECOND,2012-02-29,DPCERY2,2,1.52,Personal consumption expenditures
239,2011_Q4,THIRD,2012-03-29,DPCERY2,2,1.47,Personal consumption expenditures
240,2012_Q1,ADVANCE,2012-04-27,DPCERY2,2,2.04,Personal consumption expenditures
241,2012_Q1,SECOND,2012-05-31,DPCERY2,2,1.9,Personal consumption expenditures
242,2012_Q1,THIRD,2012-06-28,DPCERY2,2,1.74,Personal consumption expenditures
243,2012_Q2,ADVANCE,2012-07-27,DPCERY2,2,1.05,Personal consumption expenditures
244,2012_Q2,SECOND,2012-08-29,DPCERY2,2,1.2,Personal consumption expenditures
245,2012_Q2,THIRD,2012-09-27,DPCERY2,2,1.06,Personal consumption expenditures
246,2012_Q3,ADVANCE,2012-10-26,DPCERY2,2,1.42,Personal consumption expenditures
247,2012_Q3,SECOND,2012-11-29,DPCERY2,2,0.99,Personal consumption expenditures
248,2012_Q3,THIRD,2012-12-20,DPCERY2,2,1.12,Personal consumption expenditures
249,2012_Q4,ADVANCE,2013-01-30,DPCERY2,2,1.52,Personal consumption expenditures
250,2012_Q4,SECOND,2013-02-28,DPCERY2,2,1.47,Personal consumption expenditures
251,2012_Q4,THIRD,2013-03-28,DPCERY2,2,1.28,Personal consumption expenditures
252,2013_Q1,ADVANCE,2013-04-26,DPCERY2,2,2.24,Personal consumption expenditures
253,2013_Q1,SECOND,2013-05-30,DPCERY2,2,2.4,Personal consumption expenditures
254,2013_Q1,THIRD,2013-06-26,DPCERY2,2,1.83,Personal consumption expenditures
255,2013_Q2,ADVANCE,2013-07-31,DPCERY2,2,1.22,Personal consumption expenditures
256,2013_Q2,SECOND,2013-08-29,DPCERY2,2,1.21,Personal consumption expenditures
257,2013_Q2,THIRD,2013-09-26,DPCERY2,2,1.24,Personal consumption expenditures
258,2013_Q3,ADVANCE,2013-11-07,DPCERY2,2,1.04,Personal consumption expenditures
259,2013_Q3,SECOND,2013-12-05,DPCERY2,2,0.96,Personal consumption expenditures
260,2013_Q3,THIRD,2013-12-20,DPCERY2,2,1.36,Personal consumption expenditures
261,2013_Q4,ADVANCE,2014-01-30,DPCERY2,2,2.26,Personal consumption expenditures
262,2013_Q4,SECOND,2014-02-28,DPCERY2,2,1.73,Personal consumption expenditures
263,2013_Q4,THIRD,2014-03-27,DPCERY2,2,2.22,Personal consumption expenditures
264,2014_Q1,ADVANCE,2014-04-30,DPCERY2,2,2.04,Personal consumption expenditures
265,2014_Q1,SECOND,2014-05-29,DPCERY2,2,2.09,Personal consumption expenditures
266,2014_Q1,THIRD,2014-06-25,DPCERY2,2,0.71,Personal consumption expenditures
267,2014_Q2,ADVANCE,2014-07-30,DPCERY2,2,1.69,Personal consumption expenditures
268,2014_Q2,SECOND,2014-08-28,DPCERY2,2,1.69,Personal consumption expenditures
269,2014_Q2,THIRD,2014-09-26,DPCERY2,2,1.75,Personal consumption expenditures
270,2014_Q3,ADVANCE,2014-10-30,DPCERY2,2,1.22,Personal consumption expenditures
271,2014_Q3,SECOND,2014-11-25,DPCERY2,2,1.51,Personal consumption expenditures
272,2014_Q3,THIRD,2014-12-23,DPCERY2,2,2.21,Personal consumption expenditures
273,2014_Q4,ADVANCE,2015-01-30,DPCERY2,2,2.87,Personal consumption expenditures
274,2014_Q4,SECOND,2015-02-27,DPCERY2,2,2.83,Personal consumption expenditures
275,2014_Q4,THIRD,2015-03-27,DPCERY2,2,2.98,Personal consumption expenditures
276,2015_Q1,ADVANCE,2015-04-29,DPCERY2,2,1.31,Personal consumption expenditures
277,2015_Q1,SECOND,2015-05-29,DPCERY2,2,1.23,Personal consumption expenditures
278,2015_Q1,THIRD,2015-06-24,DPCERY2,2,1.43,Personal consumption expenditures
279,2015_Q2,ADVANCE,2015-07-30,DPCERY2,2,1.99,Personal consumption expenditures
280,2015_Q2,SECOND,2015-08-27,DPCERY2,2,2.11,Personal consumption expenditures
281,2015_Q2,THIRD,2015-09-25,DPCERY2,2,2.42,Personal consumption expenditures
282,2015_Q3,ADVANCE,2015-10-29,DPCERY2,2,2.19,Personal consumption expenditures
283,2015_Q3,SECOND,2015-11-24,DPCERY2,2,2.05,Personal consumption expenditures
284,2015_Q3,THIRD,2015-12-22,DPCERY2,2,2.04,Personal consumption expenditures
285,2015_Q4,ADVANCE,2016-01-29,DPCERY2,2,1.46,Personal consumption expenditures
286,2015_Q4,SECOND,2016-02-26,DPCERY2,2,1.38,Personal consumption expenditures
287,2015_Q4,THIRD,2016-03-25,DPCERY2,2,1.66,Personal consumption expenditures
288,2004_Q1,ADVANCE,2004-04-29,DGDSRY2,,,
289,2004_Q1,SECOND,2004-05-27,DGDSRY2,,,
290,2004_Q1,THIRD,2004-06-25,DGDSRY2,,,
291,2004_Q2,ADVANCE,2004-07-30,DGDSRY2,,,
292,2004_Q2,SECOND,2004-08-27,DGDSRY2,,,
293,2004_Q2,THIRD,2004-09-29,DGDSRY2,,,
294,2004_Q3,ADVANCE,2004-10-29,DGDSRY2,,,
295,2004_Q3,SECOND,2004-11-30,DGDSRY2,,,
296,2004_Q3,THIRD,2004-12-22,DGDSRY2,,,
297,2004_Q4,ADVANCE,2005-01-28,DGDSRY2,,,
298,2004_Q4,SECOND,2005-02-25,DGDSRY2,,,
299,2004_Q4,THIRD,2005-03-30,DGDSRY2,,,
300,2005_Q1,ADVANCE,2005-04-28,DGDSRY2,,,
301,2005_Q1,SECOND,2005-05-26,DGDSRY2,,,
302,2005_Q1,THIRD,2005-06-29,DGDSRY2,,,
303,2005_Q2,ADVANCE,2005-07-29,DGDSRY2,,,
304,2005_Q2,SECOND,2005-08-31,DGDSRY2,,,
305,2005_Q2,THIRD,2005-09-29,DGDSRY2,,,
306,2005_Q3,ADVANCE,2005-10-28,DGDSRY2,,,
307,2005_Q3,SECOND,2005-11-30,DGDSRY2,,,
308,2005_Q3,THIRD,2005-12-21,DGDSRY2,,,
309,2005_Q4,ADVANCE,2006-01-27,DGDSRY2,,,
310,2005_Q4,SECOND,2006-02-28,DGDSRY2,,,
311,2005_Q4,THIRD,2006-03-30,DGDSRY2,,,
312,2006_Q1,ADVANCE,2006-04-28,DGDSRY2,,,
313,2006_Q1,SECOND,2006-05-25,DGDSRY2,,,
314,2006_Q1,THIRD,2006-06-29,DGDSRY2,,,
315,2006_Q2,ADVANCE,2006-07-28,DGDSRY2,,,
316,2006_Q2,SECOND,2006-08-30,DGDSRY2,,,
317,2006_Q2,THIRD,2006-09-28,DGDSRY2,,,
318,2006_Q3,ADVANCE,2006-10-27,DGDSRY2,,,
319,2006_Q3,SECOND,2006-11-29,DGDSRY2,,,
320,2006_Q3,THIRD,2006-12-21,DGDSRY2,,,
321,2006_Q4,ADVANCE,2007-01-27,DGDSRY2,,,
322,2006_Q4,SECOND,2007-02-28,DGDSRY2,,,
323,2006_Q4,THIRD,2007-03-30,DGDSRY2,,,
324,2007_Q1,ADVANCE,2007-04-27,DGDSRY2,,,
325,2007_Q1,SECOND,2007-05-31,DGDSRY2,,,
326,2007_Q1,THIRD,2007-06-28,DGDSRY2,,,
327,2007_Q2,ADVANCE,2007-07-27,DGDSRY2,,,
328,2007_Q2,SECOND,2007-08-30,DGDSRY2,,,
329,2007_Q2,THIRD,2007-09-27,DGDSRY2,,,
330,2007_Q3,ADVANCE,2007-10-31,DGDSRY2,,,
331,2007_Q3,SECOND,2007-11-29,DGDSRY2,,,
332,2007_Q3,THIRD,2007-12-20,DGDSRY2,,,
333,2007_Q4,ADVANCE,2008-01-30,DGDSRY2,,,
334,2007_Q4,SECOND,2008-02-28,DGDSRY2,,,
335,2007_Q4,THIRD,2008-03-27,DGDSRY2,,,
336,2008_Q1,ADVANCE,2008-04-30,DGDSRY2,,,
337,2008_Q1,SECOND,2008-05-29,DGDSRY2,,,
338,2008_Q1,THIRD,2008-06-26,DGDSRY2,,,
339,2008_Q2,ADVANCE,2008-07-31,DGDSRY2,,,
340,2008_Q2,SECOND,2008-08-28,DGDSRY2,,,
341,2008_Q2,THIRD,2008-09-26,DGDSRY2,,,
342,2008_Q3,ADVANCE,2008-10-30,DGDSRY2,,,
343,2008_Q3,SECOND,2008-11-25,DGDSRY2,,,
344,2008_Q3,THIRD,2008-12-23,DGDSRY2,,,
345,2008_Q4,ADVANCE,2009-01-30,DGDSRY2,,,
346,2008_Q4,SECOND,2009-02-27,DGDSRY2,,,
347,2008_Q4,THIRD,2009-03-26,DGDSRY2,,,
348,2009_Q1,ADVANCE,2009-04-29,DGDSRY2,,,
349,2009_Q1,SECOND,2009-05-29,DGDSRY2,,,
350,2009_Q1,THIRD,2009-06-25,DGDSRY2,,,
351,2009_Q2,ADVANCE,2009-07-31,DGDSRY2,3,-0.92,  Goods
